rater,team,individual,survey,metric,value,team_number,individual_id
-2300004,23,4,1,Capability,46.0,23,4
-2300004,23,4,1,Collaboration,50.0,23,4
-2300004,23,4,1,Psych. Safety,54.0,23,4
-2300004,23,4,1,Cognitive Load,58.0,23,4
-2300004,23,4,1,AI Anxiety,40.0,23,4
-2300004,23,4,1,AI Knowledge,44.0,23,4
-2300004,23,4,1,AI Business Use,48.0,23,4
-2300004,23,4,1,AI Training,52.0,23,4
-2300004,23,4,1,AI Experimentation,56.0,23,4
-2300004,23,4,1,AI Career Importance,60.0,23,4
-2300003,23,3,1,Wellbeing,86.0,23,3
-2300003,23,3,1,Team Access,75.0,23,3
-2300003,23,3,1,Productivity,80.0,23,3
-2300003,23,3,1,Balance,50.0,23,3
-2300003,23,3,1,Personal Style,75.0,23,3
-2300003,23,3,1,Preferred Culture,78.0,23,3
-2300003,23,3,1,Capacity,81.0,23,3
-2300003,23,3,1,Capability,74.0,23,3
-2300003,23,3,1,Collaboration,78.0,23,3
-2300003,23,3,1,Psych. Safety,90.0,23,3
-2300003,23,3,1,Cognitive Load,85.0,23,3
-2300003,23,3,1,AI Anxiety,67.0,23,3
-2300003,23,3,1,AI Knowledge,77.0,23,3
-2300003,23,3,1,AI Business Use,77.0,23,3
-2300003,23,3,1,AI Training,81.0,23,3
-2300003,23,3,1,AI Experimentation,90.0,23,3
-2300003,23,3,1,AI Career Importance,83.0,23,3
-400002,4,2,1,Wellbeing,61.0,4,2
-400002,4,2,1,Team Access,65.0,4,2
-400002,4,2,1,Productivity,34.0,4,2
-400002,4,2,1,Balance,49.0,4,2
-400002,4,2,1,Personal Style,40.0,4,2
-400002,4,2,1,Preferred Culture,17.0,4,2
-400002,4,2,1,Capacity,42.0,4,2
-400002,4,2,1,Capability,46.0,4,2
-400002,4,2,1,Collaboration,61.0,4,2
-400002,4,2,1,Psych. Safety,50.0,4,2
-400002,4,2,1,Cognitive Load,73.0,4,2
-400002,4,2,1,AI Anxiety,73.0,4,2
-400002,4,2,1,AI Knowledge,67.0,4,2
-400002,4,2,1,AI Business Use,76.0,4,2
-400002,4,2,1,AI Training,64.0,4,2
-400002,4,2,1,AI Experimentation,30.0,4,2
-400002,4,2,1,AI Career Importance,52.0,4,2
-1700001,17,1,1,Wellbeing,61.0,17,1
-1700001,17,1,1,Team Access,60.0,17,1
-1700001,17,1,1,Productivity,36.0,17,1
-1700001,17,1,1,Balance,45.0,17,1
-1700001,17,1,1,Personal Style,38.0,17,1
-1700001,17,1,1,Preferred Culture,26.0,17,1
-1700001,17,1,1,Capacity,68.0,17,1
-1700001,17,1,1,Capability,80.0,17,1
-1700001,17,1,1,Collaboration,79.0,17,1
-1700001,17,1,1,Psych. Safety,81.0,17,1
-1700001,17,1,1,Cognitive Load,62.0,17,1
-1700001,17,1,1,AI Anxiety,19.0,17,1
-1700001,17,1,1,AI Knowledge,45.0,17,1
-1700001,17,1,1,AI Business Use,55.0,17,1
-1700001,17,1,1,AI Training,40.0,17,1
-1700001,17,1,1,AI Experimentation,68.0,17,1
-1700001,17,1,1,AI Career Importance,70.0,17,1
-400001,4,1,1,Wellbeing,75.0,4,1
-400001,4,1,1,Team Access,66.0,4,1
-400001,4,1,1,Productivity,33.0,4,1
-400001,4,1,1,Balance,40.0,4,1
-400001,4,1,1,Personal Style,80.0,4,1
-400001,4,1,1,Preferred Culture,75.0,4,1
-400001,4,1,1,Capacity,71.0,4,1
-400001,4,1,1,Capability,45.0,4,1
-400001,4,1,1,Collaboration,48.0,4,1
-400001,4,1,1,Psych. Safety,66.0,4,1
-400001,4,1,1,Cognitive Load,61.0,4,1
-400001,4,1,1,AI Anxiety,74.0,4,1
-400001,4,1,1,AI Knowledge,70.0,4,1
-400001,4,1,1,AI Business Use,95.0,4,1
-400001,4,1,1,AI Training,77.0,4,1
-400001,4,1,1,AI Experimentation,82.0,4,1
-400001,4,1,1,AI Career Importance,86.0,4,1
-400005,4,5,1,Wellbeing,70.0,4,5
-400005,4,5,1,Team Access,81.0,4,5
-400005,4,5,1,Productivity,52.0,4,5
-400005,4,5,1,Balance,60.0,4,5
-400005,4,5,1,Personal Style,17.0,4,5
-400005,4,5,1,Preferred Culture,38.0,4,5
-400005,4,5,1,Capacity,69.0,4,5
-400005,4,5,1,Capability,78.0,4,5
-400005,4,5,1,Collaboration,64.0,4,5
-400005,4,5,1,Psych. Safety,73.0,4,5
-400005,4,5,1,Cognitive Load,58.0,4,5
-400005,4,5,1,AI Anxiety,71.0,4,5
-400005,4,5,1,AI Knowledge,16.0,4,5
-400005,4,5,1,AI Business Use,25.0,4,5
-400005,4,5,1,AI Training,10.0,4,5
-400005,4,5,1,AI Experimentation,41.0,4,5
-400005,4,5,1,AI Career Importance,49.0,4,5
-1700004,17,4,1,Wellbeing,85.0,17,4
-1700004,17,4,1,Team Access,82.0,17,4
-1700004,17,4,1,Productivity,80.0,17,4
-1700004,17,4,1,Balance,45.0,17,4
-1700004,17,4,1,Personal Style,60.0,17,4
-1700004,17,4,1,Preferred Culture,90.0,17,4
-1700004,17,4,1,Capacity,95.0,17,4
-1700004,17,4,1,Capability,100.0,17,4
-1700004,17,4,1,Collaboration,95.0,17,4
-1700004,17,4,1,Psych. Safety,75.0,17,4
-1700004,17,4,1,Cognitive Load,58.0,17,4
-1700004,17,4,1,AI Anxiety,10.0,17,4
-1700004,17,4,1,AI Knowledge,99.0,17,4
-1700004,17,4,1,AI Business Use,100.0,17,4
-1700004,17,4,1,AI Training,80.0,17,4
-1700004,17,4,1,AI Experimentation,100.0,17,4
-1700004,17,4,1,AI Career Importance,100.0,17,4
-400004,4,4,1,Wellbeing,62.0,4,4
-400004,4,4,1,Team Access,50.0,4,4
-400004,4,4,1,Productivity,53.0,4,4
-400004,4,4,1,Balance,56.0,4,4
-400004,4,4,1,Personal Style,36.0,4,4
-400004,4,4,1,Preferred Culture,31.0,4,4
-400004,4,4,1,Capacity,42.0,4,4
-400004,4,4,1,Capability,46.0,4,4
-400004,4,4,1,Collaboration,50.0,4,4
-400004,4,4,1,Psych. Safety,54.0,4,4
-400004,4,4,1,Cognitive Load,58.0,4,4
-400004,4,4,1,AI Anxiety,40.0,4,4
-400004,4,4,1,AI Knowledge,29.0,4,4
-400004,4,4,1,AI Business Use,22.0,4,4
-400004,4,4,1,AI Training,15.0,4,4
-400004,4,4,1,AI Experimentation,19.0,4,4
-400004,4,4,1,AI Career Importance,20.0,4,4
-400006,4,6,1,Wellbeing,44.0,4,6
-400006,4,6,1,Team Access,48.0,4,6
-400006,4,6,1,Productivity,52.0,4,6
-400006,4,6,1,Balance,56.0,4,6
-400006,4,6,1,Personal Style,69.0,4,6
-400006,4,6,1,Preferred Culture,77.0,4,6
-400006,4,6,1,Capacity,26.0,4,6
-400006,4,6,1,Capability,19.0,4,6
-400006,4,6,1,Collaboration,42.0,4,6
-400006,4,6,1,Psych. Safety,54.0,4,6
-400006,4,6,1,Cognitive Load,60.0,4,6
-400006,4,6,1,AI Anxiety,27.0,4,6
-400006,4,6,1,AI Knowledge,32.0,4,6
-400006,4,6,1,AI Business Use,40.0,4,6
-400006,4,6,1,AI Training,66.0,4,6
-400006,4,6,1,AI Experimentation,66.0,4,6
-400006,4,6,1,AI Career Importance,73.0,4,6
-2600004,26,4,1,Wellbeing,16.0,26,4
-2600004,26,4,1,Team Access,26.0,26,4
-2600004,26,4,1,Productivity,66.0,26,4
-2600004,26,4,1,Balance,77.0,26,4
-2600004,26,4,1,Personal Style,25.0,26,4
-2600004,26,4,1,Preferred Culture,22.0,26,4
-2600004,26,4,1,Capacity,31.0,26,4
-2600004,26,4,1,Capability,26.0,26,4
-2600004,26,4,1,Collaboration,62.0,26,4
-2600004,26,4,1,Psych. Safety,69.0,26,4
-2600004,26,4,1,Cognitive Load,76.0,26,4
-2600004,26,4,1,AI Anxiety,21.0,26,4
-2600004,26,4,1,AI Knowledge,27.0,26,4
-2600004,26,4,1,AI Business Use,48.0,26,4
-2600004,26,4,1,AI Training,68.0,26,4
-2600004,26,4,1,AI Experimentation,68.0,26,4
-2600004,26,4,1,AI Career Importance,73.0,26,4
-2600001,26,1,1,Wellbeing,34.0,26,1
-2600001,26,1,1,Team Access,47.0,26,1
-2600001,26,1,1,Productivity,51.0,26,1
-2600001,26,1,1,Balance,58.0,26,1
-2600001,26,1,1,Personal Style,58.0,26,1
-2600001,26,1,1,Preferred Culture,46.0,26,1
-2600001,26,1,1,Capacity,65.0,26,1
-2600001,26,1,1,Capability,67.0,26,1
-2600001,26,1,1,Collaboration,68.0,26,1
-2600001,26,1,1,Psych. Safety,68.0,26,1
-2600001,26,1,1,Cognitive Load,67.0,26,1
-2600001,26,1,1,AI Anxiety,26.0,26,1
-2600001,26,1,1,AI Knowledge,42.0,26,1
-2600001,26,1,1,AI Business Use,46.0,26,1
-2600001,26,1,1,AI Training,19.0,26,1
-2600001,26,1,1,AI Experimentation,30.0,26,1
-2600001,26,1,1,AI Career Importance,75.0,26,1
-2600000,26,0,1,Wellbeing,39.0,26,0
-2600000,26,0,1,Team Access,63.0,26,0
-2600000,26,0,1,Productivity,49.0,26,0
-2600000,26,0,1,Balance,53.0,26,0
-2600000,26,0,1,Personal Style,61.0,26,0
-2600000,26,0,1,Preferred Culture,64.0,26,0
-2600000,26,0,1,Capacity,47.0,26,0
-2600000,26,0,1,Capability,46.0,26,0
-2600000,26,0,1,Collaboration,46.0,26,0
-2600000,26,0,1,Psych. Safety,48.0,26,0
-2600000,26,0,1,Cognitive Load,47.0,26,0
-2600000,26,0,1,AI Anxiety,50.0,26,0
-2600000,26,0,1,AI Knowledge,50.0,26,0
-2600000,26,0,1,AI Business Use,23.0,26,0
-2600000,26,0,1,AI Training,19.0,26,0
-2600000,26,0,1,AI Experimentation,34.0,26,0
-2600000,26,0,1,AI Career Importance,55.0,26,0
-2600003,26,3,1,Wellbeing,100.0,26,3
-2600003,26,3,1,Team Access,90.0,26,3
-2600003,26,3,1,Productivity,70.0,26,3
-2600003,26,3,1,Balance,40.0,26,3
-2600003,26,3,1,Personal Style,60.0,26,3
-2600003,26,3,1,Preferred Culture,80.0,26,3
-2600003,26,3,1,Capacity,80.0,26,3
-2600003,26,3,1,Capability,70.0,26,3
-2600003,26,3,1,Collaboration,85.0,26,3
-2600003,26,3,1,Psych. Safety,90.0,26,3
-2600003,26,3,1,Cognitive Load,75.0,26,3
-2600003,26,3,1,AI Anxiety,25.0,26,3
-2600003,26,3,1,AI Knowledge,50.0,26,3
-2600003,26,3,1,AI Business Use,30.0,26,3
-2600003,26,3,1,AI Training,45.0,26,3
-2600003,26,3,1,AI Experimentation,50.0,26,3
-2600003,26,3,1,AI Career Importance,60.0,26,3
-400007,4,7,1,Wellbeing,20.0,4,7
-400007,4,7,1,Team Access,75.0,4,7
-400007,4,7,1,Productivity,30.0,4,7
-400007,4,7,1,Balance,26.0,4,7
-400007,4,7,1,Personal Style,14.0,4,7
-400007,4,7,1,Preferred Culture,85.0,4,7
-400007,4,7,1,Capacity,80.0,4,7
-400007,4,7,1,Capability,82.0,4,7
-400007,4,7,1,Collaboration,65.0,4,7
-400007,4,7,1,Psych. Safety,40.0,4,7
-400007,4,7,1,Cognitive Load,50.0,4,7
-400007,4,7,1,AI Anxiety,35.0,4,7
-400007,4,7,1,AI Knowledge,41.0,4,7
-400007,4,7,1,AI Business Use,75.0,4,7
-400007,4,7,1,AI Training,75.0,4,7
-400007,4,7,1,AI Experimentation,50.0,4,7
-400007,4,7,1,AI Career Importance,78.0,4,7
-1800001,18,1,1,Wellbeing,0.0,18,1
-1800001,18,1,1,Team Access,3.0,18,1
-1800001,18,1,1,Productivity,6.0,18,1
-1800001,18,1,1,Balance,9.0,18,1
-1800001,18,1,1,Personal Style,43.0,18,1
-1800001,18,1,1,Preferred Culture,81.0,18,1
-1800001,18,1,1,Capacity,29.0,18,1
-1800001,18,1,1,Capability,32.0,18,1
-1800001,18,1,1,Collaboration,66.0,18,1
-1800001,18,1,1,Psych. Safety,68.0,18,1
-1800001,18,1,1,Cognitive Load,53.0,18,1
-1800001,18,1,1,AI Anxiety,0.0,18,1
-1800001,18,1,1,AI Knowledge,74.0,18,1
-1800001,18,1,1,AI Business Use,77.0,18,1
-1800001,18,1,1,AI Training,81.0,18,1
-1800001,18,1,1,AI Experimentation,100.0,18,1
-1800001,18,1,1,AI Career Importance,92.0,18,1
-1100000,11,0,1,Wellbeing,44.0,11,0
-1100000,11,0,1,Team Access,48.0,11,0
-1100000,11,0,1,Productivity,52.0,11,0
-1100000,11,0,1,Balance,54.0,11,0
-1100000,11,0,1,Personal Style,48.0,11,0
-1100000,11,0,1,Preferred Culture,48.0,11,0
-1100000,11,0,1,Capacity,42.0,11,0
-1100000,11,0,1,Capability,46.0,11,0
-1100000,11,0,1,Collaboration,50.0,11,0
-1100000,11,0,1,Psych. Safety,54.0,11,0
-1100000,11,0,1,Cognitive Load,76.0,11,0
-1100000,11,0,1,AI Anxiety,40.0,11,0
-1100000,11,0,1,AI Knowledge,44.0,11,0
-1100000,11,0,1,AI Business Use,48.0,11,0
-1100000,11,0,1,AI Training,52.0,11,0
-1100000,11,0,1,AI Experimentation,56.0,11,0
-1100000,11,0,1,AI Career Importance,89.0,11,0
-2700000,27,0,1,Wellbeing,46.0,27,0
-2700000,27,0,1,Team Access,48.0,27,0
-2700000,27,0,1,Productivity,52.0,27,0
-2700000,27,0,1,Balance,92.0,27,0
-2700000,27,0,1,Personal Style,66.0,27,0
-2700000,27,0,1,Preferred Culture,73.0,27,0
-2700000,27,0,1,Capacity,77.0,27,0
-2700000,27,0,1,Capability,73.0,27,0
-2700000,27,0,1,Collaboration,75.0,27,0
-2700000,27,0,1,Psych. Safety,79.0,27,0
-2700000,27,0,1,Cognitive Load,82.0,27,0
-2700000,27,0,1,AI Anxiety,26.0,27,0
-2700000,27,0,1,AI Knowledge,28.0,27,0
-2700000,27,0,1,AI Business Use,64.0,27,0
-2700000,27,0,1,AI Training,46.0,27,0
-2700000,27,0,1,AI Experimentation,52.0,27,0
-2700000,27,0,1,AI Career Importance,59.0,27,0
-1300003,13,3,1,Wellbeing,100.0,13,3
-1300003,13,3,1,Team Access,88.0,13,3
-1300003,13,3,1,Productivity,70.0,13,3
-1300003,13,3,1,Balance,58.0,13,3
-1300003,13,3,1,Personal Style,23.0,13,3
-1300003,13,3,1,Preferred Culture,74.0,13,3
-1300003,13,3,1,Capacity,92.0,13,3
-1300003,13,3,1,Capability,86.0,13,3
-1300003,13,3,1,Collaboration,99.0,13,3
-1300003,13,3,1,Psych. Safety,81.0,13,3
-1300003,13,3,1,Cognitive Load,69.0,13,3
-1300003,13,3,1,AI Anxiety,15.0,13,3
-1300003,13,3,1,AI Knowledge,73.0,13,3
-1300003,13,3,1,AI Business Use,79.0,13,3
-1300003,13,3,1,AI Training,76.0,13,3
-1300003,13,3,1,AI Experimentation,88.0,13,3
-1300003,13,3,1,AI Career Importance,94.0,13,3
-1300002,13,2,1,Wellbeing,86.0,13,2
-1300002,13,2,1,Team Access,80.0,13,2
-1300002,13,2,1,Productivity,45.0,13,2
-1300002,13,2,1,Balance,67.0,13,2
-1300002,13,2,1,Personal Style,79.0,13,2
-1300002,13,2,1,Preferred Culture,64.0,13,2
-1300002,13,2,1,Capacity,73.0,13,2
-1300002,13,2,1,Capability,69.0,13,2
-1300002,13,2,1,Collaboration,71.0,13,2
-1300002,13,2,1,Psych. Safety,75.0,13,2
-1300002,13,2,1,Cognitive Load,78.0,13,2
-1300002,13,2,1,AI Anxiety,34.0,13,2
-1300002,13,2,1,AI Knowledge,86.0,13,2
-1300002,13,2,1,AI Business Use,57.0,13,2
-1300002,13,2,1,AI Training,69.0,13,2
-1300002,13,2,1,AI Experimentation,77.0,13,2
-1300002,13,2,1,AI Career Importance,74.0,13,2
-1300001,13,1,1,Wellbeing,73.0,13,1
-1300001,13,1,1,Team Access,87.0,13,1
-1300001,13,1,1,Productivity,63.0,13,1
-1300001,13,1,1,Balance,50.0,13,1
-1300001,13,1,1,Personal Style,40.0,13,1
-1300001,13,1,1,Preferred Culture,85.0,13,1
-1300001,13,1,1,Capacity,84.0,13,1
-1300001,13,1,1,Capability,73.0,13,1
-1300001,13,1,1,Collaboration,64.0,13,1
-1300001,13,1,1,Psych. Safety,79.0,13,1
-1300001,13,1,1,Cognitive Load,57.0,13,1
-1300001,13,1,1,AI Anxiety,49.0,13,1
-1300001,13,1,1,AI Knowledge,63.0,13,1
-1300001,13,1,1,AI Business Use,74.0,13,1
-1300001,13,1,1,AI Training,79.0,13,1
-1300001,13,1,1,AI Experimentation,83.0,13,1
-1300001,13,1,1,AI Career Importance,100.0,13,1
-1100003,11,3,1,Wellbeing,70.0,11,3
-1100003,11,3,1,Team Access,77.0,11,3
-1100003,11,3,1,Productivity,65.0,11,3
-1100003,11,3,1,Balance,63.0,11,3
-1100003,11,3,1,Personal Style,34.0,11,3
-1100003,11,3,1,Preferred Culture,65.0,11,3
-1100003,11,3,1,Capacity,66.0,11,3
-1100003,11,3,1,Capability,68.0,11,3
-1100003,11,3,1,Collaboration,60.0,11,3
-1100003,11,3,1,Psych. Safety,67.0,11,3
-1100003,11,3,1,Cognitive Load,62.0,11,3
-1100003,11,3,1,AI Anxiety,13.0,11,3
-1100003,11,3,1,AI Knowledge,82.0,11,3
-1100003,11,3,1,AI Business Use,75.0,11,3
-1100003,11,3,1,AI Training,68.0,11,3
-1100003,11,3,1,AI Experimentation,66.0,11,3
-1100003,11,3,1,AI Career Importance,66.0,11,3
-1300000,13,0,1,Wellbeing,60.0,13,0
-1300000,13,0,1,Team Access,81.0,13,0
-1300000,13,0,1,Productivity,74.0,13,0
-1300000,13,0,1,Balance,81.0,13,0
-1300000,13,0,1,Personal Style,32.0,13,0
-1300000,13,0,1,Preferred Culture,32.0,13,0
-1300000,13,0,1,Capacity,73.0,13,0
-1300000,13,0,1,Capability,68.0,13,0
-1300000,13,0,1,Collaboration,80.0,13,0
-1300000,13,0,1,Psych. Safety,100.0,13,0
-1300000,13,0,1,Cognitive Load,50.0,13,0
-1300000,13,0,1,AI Anxiety,38.0,13,0
-1300000,13,0,1,AI Knowledge,69.0,13,0
-1300000,13,0,1,AI Business Use,75.0,13,0
-1300000,13,0,1,AI Training,66.0,13,0
-1300000,13,0,1,AI Experimentation,83.0,13,0
-1300000,13,0,1,AI Career Importance,60.0,13,0
-1100004,11,4,1,Wellbeing,28.0,11,4
-1100004,11,4,1,Team Access,48.0,11,4
-1100004,11,4,1,Productivity,37.0,11,4
-1100004,11,4,1,Balance,20.0,11,4
-1100004,11,4,1,Personal Style,33.0,11,4
-1100004,11,4,1,Preferred Culture,36.0,11,4
-1100004,11,4,1,Capacity,36.0,11,4
-1100004,11,4,1,Capability,42.0,11,4
-1100004,11,4,1,Collaboration,56.0,11,4
-1100004,11,4,1,Psych. Safety,32.0,11,4
-1100004,11,4,1,Cognitive Load,15.0,11,4
-1100004,11,4,1,AI Anxiety,50.0,11,4
-1100004,11,4,1,AI Knowledge,27.0,11,4
-1100004,11,4,1,AI Business Use,36.0,11,4
-1100004,11,4,1,AI Training,20.0,11,4
-1100004,11,4,1,AI Experimentation,42.0,11,4
-1100004,11,4,1,AI Career Importance,15.0,11,4
-1100005,11,5,1,Wellbeing,100.0,11,5
-1100005,11,5,1,Team Access,100.0,11,5
-1100005,11,5,1,Productivity,100.0,11,5
-1100005,11,5,1,Balance,100.0,11,5
-1100005,11,5,1,Personal Style,72.0,11,5
-1100005,11,5,1,Preferred Culture,78.0,11,5
-1100005,11,5,1,Capacity,68.0,11,5
-1100005,11,5,1,Capability,62.0,11,5
-1100005,11,5,1,Collaboration,32.0,11,5
-1100005,11,5,1,Psych. Safety,46.0,11,5
-1100005,11,5,1,Cognitive Load,51.0,11,5
-1100005,11,5,1,AI Anxiety,0.0,11,5
-1100005,11,5,1,AI Knowledge,100.0,11,5
-1100005,11,5,1,AI Business Use,39.0,11,5
-1100005,11,5,1,AI Training,67.0,11,5
-1100005,11,5,1,AI Experimentation,84.0,11,5
-1100005,11,5,1,AI Career Importance,100.0,11,5
-1100001,11,1,1,Wellbeing,68.0,11,1
-1100001,11,1,1,Team Access,80.0,11,1
-1100001,11,1,1,Productivity,56.0,11,1
-1100001,11,1,1,Balance,76.0,11,1
-1100001,11,1,1,Personal Style,74.0,11,1
-1100001,11,1,1,Preferred Culture,70.0,11,1
-1100001,11,1,1,Capacity,48.0,11,1
-1100001,11,1,1,Capability,52.0,11,1
-1100001,11,1,1,Collaboration,63.0,11,1
-1100001,11,1,1,Psych. Safety,56.0,11,1
-1100001,11,1,1,Cognitive Load,85.0,11,1
-1100001,11,1,1,AI Anxiety,32.0,11,1
-1100001,11,1,1,AI Knowledge,44.0,11,1
-1100001,11,1,1,AI Business Use,35.0,11,1
-1100001,11,1,1,AI Training,38.0,11,1
-1100001,11,1,1,AI Experimentation,55.0,11,1
-1100001,11,1,1,AI Career Importance,75.0,11,1
-1100002,11,2,1,Wellbeing,37.0,11,2
-1100002,11,2,1,Team Access,80.0,11,2
-1100002,11,2,1,Productivity,50.0,11,2
-1100002,11,2,1,Balance,31.0,11,2
-1100002,11,2,1,Personal Style,60.0,11,2
-1100002,11,2,1,Preferred Culture,20.0,11,2
-1100002,11,2,1,Capacity,50.0,11,2
-1100002,11,2,1,Capability,50.0,11,2
-1100002,11,2,1,Collaboration,50.0,11,2
-1100002,11,2,1,Psych. Safety,50.0,11,2
-1100002,11,2,1,Cognitive Load,50.0,11,2
-1100002,11,2,1,AI Anxiety,40.0,11,2
-1100002,11,2,1,AI Knowledge,50.0,11,2
-1100002,11,2,1,AI Business Use,48.0,11,2
-1100002,11,2,1,AI Training,30.0,11,2
-1100002,11,2,1,AI Experimentation,75.0,11,2
-1100002,11,2,1,AI Career Importance,85.0,11,2
-1700003,17,3,1,Wellbeing,95.0,17,3
-1700003,17,3,1,Team Access,61.0,17,3
-1700003,17,3,1,Productivity,44.0,17,3
-1700003,17,3,1,Balance,78.0,17,3
-1700003,17,3,1,Personal Style,48.0,17,3
-1700003,17,3,1,Preferred Culture,48.0,17,3
-1700003,17,3,1,Capacity,42.0,17,3
-1700003,17,3,1,Capability,46.0,17,3
-1700003,17,3,1,Collaboration,50.0,17,3
-1700003,17,3,1,Psych. Safety,54.0,17,3
-1700003,17,3,1,Cognitive Load,58.0,17,3
-1700003,17,3,1,AI Anxiety,40.0,17,3
-1700003,17,3,1,AI Knowledge,44.0,17,3
-1700003,17,3,1,AI Business Use,48.0,17,3
-1700003,17,3,1,AI Training,52.0,17,3
-1700003,17,3,1,AI Experimentation,56.0,17,3
-1700003,17,3,1,AI Career Importance,60.0,17,3
-300003,3,3,1,Wellbeing,100.0,3,3
-300003,3,3,1,Team Access,55.0,3,3
-300003,3,3,1,Productivity,77.0,3,3
-300003,3,3,1,Balance,82.0,3,3
-300003,3,3,1,Personal Style,51.0,3,3
-300003,3,3,1,Preferred Culture,38.0,3,3
-300003,3,3,1,Capacity,76.0,3,3
-300003,3,3,1,Capability,80.0,3,3
-300003,3,3,1,Collaboration,85.0,3,3
-300003,3,3,1,Psych. Safety,67.0,3,3
-300003,3,3,1,Cognitive Load,70.0,3,3
-300003,3,3,1,AI Anxiety,6.0,3,3
-300003,3,3,1,AI Knowledge,47.0,3,3
-300003,3,3,1,AI Business Use,43.0,3,3
-300003,3,3,1,AI Training,49.0,3,3
-300003,3,3,1,AI Experimentation,56.0,3,3
-300003,3,3,1,AI Career Importance,60.0,3,3
-300004,3,4,1,Wellbeing,59.0,3,4
-300004,3,4,1,Team Access,78.0,3,4
-300004,3,4,1,Productivity,69.0,3,4
-300004,3,4,1,Balance,64.0,3,4
-300004,3,4,1,Personal Style,49.0,3,4
-300004,3,4,1,Preferred Culture,65.0,3,4
-300004,3,4,1,Capacity,66.0,3,4
-300004,3,4,1,Capability,59.0,3,4
-300004,3,4,1,Collaboration,58.0,3,4
-300004,3,4,1,Psych. Safety,54.0,3,4
-300004,3,4,1,Cognitive Load,58.0,3,4
-300004,3,4,1,AI Anxiety,59.0,3,4
-300004,3,4,1,AI Knowledge,31.0,3,4
-300004,3,4,1,AI Business Use,65.0,3,4
-300004,3,4,1,AI Training,61.0,3,4
-300004,3,4,1,AI Experimentation,65.0,3,4
-300004,3,4,1,AI Career Importance,63.0,3,4
-300000,3,0,1,Wellbeing,79.0,3,0
-300000,3,0,1,Team Access,82.0,3,0
-300000,3,0,1,Productivity,71.0,3,0
-300000,3,0,1,Balance,50.0,3,0
-300000,3,0,1,Personal Style,80.0,3,0
-300000,3,0,1,Preferred Culture,63.0,3,0
-300000,3,0,1,Capacity,67.0,3,0
-300000,3,0,1,Capability,79.0,3,0
-300000,3,0,1,Collaboration,81.0,3,0
-300000,3,0,1,Psych. Safety,83.0,3,0
-300000,3,0,1,Cognitive Load,80.0,3,0
-300000,3,0,1,AI Anxiety,46.0,3,0
-300000,3,0,1,AI Knowledge,50.0,3,0
-300000,3,0,1,AI Business Use,44.0,3,0
-300000,3,0,1,AI Training,53.0,3,0
-300000,3,0,1,AI Experimentation,59.0,3,0
-300000,3,0,1,AI Career Importance,67.0,3,0
-300002,3,2,1,Wellbeing,77.0,3,2
-300002,3,2,1,Team Access,56.0,3,2
-300002,3,2,1,Productivity,67.0,3,2
-300002,3,2,1,Balance,-1.0,3,2
-300002,3,2,1,Personal Style,37.0,3,2
-300002,3,2,1,Preferred Culture,36.0,3,2
-300002,3,2,1,Capacity,55.0,3,2
-300002,3,2,1,Capability,46.0,3,2
-300002,3,2,1,Collaboration,66.0,3,2
-300002,3,2,1,Psych. Safety,58.0,3,2
