Rater,Wellbeing,Team Access,Productivity,Balance,Unnamed: 5,Personal Style,Preferred Working Culture,Unnamed: 8,Unnamed: 9,Unnamed: 10,<b>Capacity</b> of the team,<b>Capability</b> of the team,<b>Collaboration</b> within the team,Ability to challenge decisions and actions <b>safely</b>,My level of <b>cognitive</b> load&nbsp;,Unnamed: 16,Level of <b>anxiety</b> towards AI,Level of <b>knowledge</b> of AI,<b>Business usage</b> of AI,Level of <b>training</b> and support received wrt AI,Opportunity to <b>experiment </b>and innovate with AI,<b>Importance</b> to you in your career,Unnamed: 23,Unnamed: 24,team,person
-1100000,44,48,52,54,,48,48,79.0,73,,42,46,50,54.0,76,,40,44,48,52,56.0,89,,Female,11,0
-2700000,46,48,52,92,,66,73,72.0,80,,77,73,75,79.0,82,,26,28,64,46,52.0,59,,Female,27,0
-1300003,100,88,70,58,,23,74,36.0,49,,92,86,99,81.0,69,,15,73,79,76,88.0,94,,Male,13,3
-1300002,86,80,45,67,,79,64,68.0,46,,73,69,71,75.0,78,,34,86,57,69,77.0,74,,Male,13,2
-1300001,73,87,63,50,,40,85,74.0,60,,84,73,64,79.0,57,,49,63,74,79,83.0,100,,Male,13,1
-1100003,70,77,65,63,,34,65,65.0,71,,66,68,60,67.0,62,,13,82,75,68,66.0,66,,Male,11,3
-1300000,60,81,74,81,,32,32,76.0,72,,73,68,80,100.0,50,,38,69,75,66,83.0,60,,Male,13,0
-1100004,28,48,37,20,,33,36,42.0,41,,36,42,56,32.0,15,,50,27,36,20,42.0,15,,Male,11,4
-1100005,100,100,100,100,,72,78,78.0,80,,68,62,32,46.0,51,,0,100,39,67,84.0,100,,Male,11,5
-1100001,68,80,56,76,,74,70,83.0,73,,48,52,63,56.0,85,,32,44,35,38,55.0,75,,Female,11,1
-1100002,37,80,50,31,,60,20,90.0,70,,50,50,50,50.0,50,,40,50,48,30,75.0,85,,Male,11,2
-1700003,95,61,44,78,,48,48,52.0,52,,42,46,50,54.0,58,,40,44,48,52,56.0,60,,Male,17,3
-300003,100,55,77,82,,51,38,34.0,52,,76,80,85,67.0,70,,6,47,43,49,56.0,60,,Male,3,3
-300004,59,78,69,64,,49,65,63.0,58,,66,59,58,54.0,58,,59,31,65,61,65.0,63,,Male,3,4
-300000,79,82,71,50,,80,63,50.0,50,,67,79,81,83.0,80,,46,50,44,53,59.0,67,,Female,3,0
-300002,77,56,67,-1,,37,36,47.0,29,,55,46,66,58.0,62,,44,48,19,57,38.0,28,,Female,3,2
-400010,85,69,50,79,,20,68,82.0,81,,65,75,94,87.0,29,,20,76,71,63,81.0,54,,Female,4,0
-1200001,84,95,88,91,,61,79,85.0,83,,94,92,98,94.0,90,,40,33,48,37,56.0,62,,Female,12,1
-300001,49,71,57,52,,35,64,61.0,60,,56,45,50,60.0,63,,31,26,60,40,60.0,60,,Male,3,1
-200001,81,77,50,39,,74,70,51.0,80,,86,87,72,85.0,40,,30,70,46,68,64.0,56,,Female,2,1
-2700004,34,58,65,90,,62,60,72.0,66,,64,71,77,83.0,67,,1,65,48,73,87.0,100,,Female,27,4
-600000,44,48,62,76,,66,87,79.0,75,,84,90,97,90.0,93,,100,71,85,93,94.0,88,,Male,6,0
-600002,-1,48,52,56,,28,48,68.0,69,,80,46,69,54.0,62,,27,45,68,74,78.0,75,,Female,6,2
-2300005,44,48,52,56,,48,48,52.0,52,,42,46,50,54.0,58,,40,74,48,63,56.0,11,,Female,23,5
-200003,39,75,83,28,,36,25,66.0,91,,67,74,90,81.0,72,,50,46,7,43,30.0,38,,Male,2,3
-600003,75,75,76,75,,66,34,68.0,30,,83,83,77,69.0,73,,68,86,75,59,65.0,80,,Male,6,3
-100003,78,71,57,60,,71,32,63.0,70,,72,97,50,65.0,58,,40,26,48,33,51.0,48,,Male,1,3
-600004,72,79,34,77,,42,46,58.0,55,,69,73,36,21.0,78,,34,85,14,80,68.0,91,,Male,6,4
-1600001,44,48,-1,56,,-1,-1,52.0,52,,42,-1,50,54.0,58,,40,44,48,-1,56.0,60,,Male,16,1
-1200003,86,81,76,71,,91,6,89.0,47,,87,85,81,91.0,32,,93,75,36,29,24.0,5,,Male,12,3
-600005,80,79,50,74,,25,80,78.0,59,,70,70,60,84.0,80,,21,65,70,57,51.0,78,,Male,6,5
-400011,30,39,48,35,,43,35,64.0,51,,24,28,41,49.0,63,,31,52,73,68,60.0,77,,Female,4,1
-1200000,72,77,65,59,,33,70,72.0,60,,82,75,93,85.0,79,,19,90,85,77,76.0,50,,Male,12,0
-1200002,95,86,80,60,,77,24,77.0,80,,76,80,83,72.0,87,,40,68,40,66,58.0,63,,Male,12,2
-600001,52,64,68,80,,74,62,81.0,76,,85,67,73,76.0,58,,31,28,61,66,56.0,74,,Male,6,1
-1700005,67,58,64,54,,26,48,88.0,51,,87,88,77,76.0,80,,84,79,64,63,56.0,93,,Female,17,5
-200000,40,65,50,50,,40,70,70.0,40,,45,35,65,80.0,55,,25,70,30,21,20.0,60,,Female,2,0
-2700002,76,70,0,49,,32,7,74.0,70,,27,36,46,70.0,83,,12,18,35,6,24.0,62,,Male,27,2
-1600000,79,71,69,86,,75,70,74.0,62,,84,77,67,54.0,58,,73,23,33,65,47.0,78,,Female,16,0
-200004,-1,-1,-1,-1,,80,35,28.0,91,,90,6,20,64.0,80,,77,23,33,14,69.0,85,,Male,2,4
-2300002,72,62,58,55,,27,40,57.0,60,,62,63,61,65.0,52,,12,31,48,52,22.0,44,,Female,23,2
-2300006,80,75,77,78,,35,67,45.0,71,,75,69,81,78.0,63,,25,54,38,32,46.0,61,,Male,23,6
-200005,41,27,69,52,,76,48,51.0,65,,63,45,75,81.0,79,,24,66,69,65,53.0,80,,Female,2,5
-2700005,83,78,78,73,,69,74,65.0,65,,42,46,50,54.0,58,,40,44,48,52,56.0,60,,Male,27,5
-1900003,86,83,29,56,,59,89,80.0,68,,79,78,64,90.0,56,,37,21,8,27,51.0,43,,Male,19,3
-2300007,44,48,52,56,,58,89,83.0,90,,100,85,100,95.0,90,,50,9,25,15,56.0,60,,Male,23,7
-2700003,98,48,61,69,,55,62,63.0,67,,63,57,72,81.0,68,,67,52,64,62,64.0,69,,Female,27,3
-1900000,44,48,89,56,,33,73,71.0,67,,68,73,38,54.0,58,,86,69,45,10,76.0,92,,Male,19,0
-1600002,65,66,74,98,,25,74,55.0,64,,76,73,91,83.0,62,,69,21,28,14,38.0,61,,Female,16,2
-1600003,34,68,37,51,,93,20,83.0,82,,41,63,50,54.0,76,,19,31,26,37,75.0,87,,Female,16,3
-1900001,59,34,50,50,,39,14,75.0,92,,69,75,81,73.0,35,,19,66,58,36,71.0,60,,Male,19,1
-3500002,65,70,25,30,,80,34,75.0,39,,65,62,28,46.0,51,,66,26,31,7,17.0,60,,Male,35,2
-1900002,33,71,50,59,,25,37,36.0,66,,79,46,73,71.0,20,,10,83,31,66,56.0,60,,Female,19,2
-300005,94,84,85,82,,78,80,72.0,67,,70,78,80,81.0,82,,6,82,77,84,77.0,95,,Female,3,5
-2400002,81,99,43,57,,76,33,71.0,28,,76,46,35,37.0,61,,0,79,75,52,91.0,88,,Male,24,2
-2400005,18,44,52,70,,64,19,65.0,24,,75,64,50,54.0,58,,17,44,29,24,56.0,69,,Male,24,5
-1900005,94,88,100,97,,40,33,55.0,72,,85,93,90,89.0,83,,70,55,33,64,76.0,82,,Male,19,5
-1900004,70,66,41,52,,71,68,71.0,69,,43,44,50,54.0,39,,30,42,47,52,61.0,67,,Male,19,4
-2400004,43,47,50,56,,48,48,51.0,88,,42,19,31,65.0,79,,40,44,48,52,56.0,33,,Female,24,4
-1800004,65,38,25,36,,100,74,59.0,80,,64,21,37,74.0,47,,67,0,0,11,6.0,16,,Female,18,4
-1800005,36,53,65,50,,28,35,58.0,70,,62,64,60,62.0,50,,64,54,40,50,63.0,46,,Male,18,5
-1800003,90,90,80,50,,35,70,70.0,70,,70,70,80,80.0,50,,25,70,30,75,90.0,90,,Male,18,3
-2400001,100,92,49,46,,50,48,52.0,52,,71,78,83,90.0,58,,14,72,48,52,81.0,94,,Male,24,1
-500001,90,100,77,71,,60,67,39.0,67,,38,75,94,100.0,67,,76,59,0,13,65.0,20,,Male,5,1
-2200000,-1,-1,-1,-1,,-1,-1,,-1,-1.0,-1,-1,-1,,-1,-1.0,-1,-1,-1,-1,,Male,,,22,0
-3500006,72,36,41,60,,23,65,37.0,68,,52,37,65,70.0,68,,9,54,36,33,66.0,69,,Male,35,6
-3500004,-1,48,65,56,,-1,-1,52.0,52,,42,-1,50,54.0,58,,40,-1,48,52,56.0,60,,Male,35,4
-1900006,97,94,97,95,,93,97,88.0,93,,99,96,98,95.0,90,,88,83,96,99,94.0,97,,Male,19,6
-2600005,35,40,50,55,,50,48,52.0,52,,49,46,50,54.0,10,,25,60,35,52,56.0,40,,Female,26,5
-200002,91,82,48,67,,36,32,40.0,61,,78,74,100,95.0,58,,18,66,72,26,65.0,43,,Male,2,2
-3400000,60,92,68,64,,30,37,44.0,70,,64,68,84,78.0,58,,25,66,39,51,71.0,79,,Female,34,0
-3500007,35,82,81,40,,66,60,80.0,71,,62,83,88,93.0,58,,34,64,65,70,77.0,60,,Male,35,7
