Rater,Wellbeing,Team Access,Productivity,Unnamed: 4,<b>Capacity</b> of the team,<b>Capability</b> of the team,<b>Priorities</b> of the team,<b>Collaboration</b> within the team,Ability to challenge decisions and actions <b>safely</b>,My level of <b>cognitive</b> load&nbsp;,<b>Leadership</b> of the team,Unnamed: 12,How well our <b>solution</b> meets the objectives of the challenge,How innovative are we being in our use of <b>technology</b>,How <b>ambitious</b> are we with our solution,What is the <b>commercial application</b> of our solution,How <b>beneficial</b> is our solution,Unnamed: 18,Unnamed: 19,Unnamed: 20,team,person
-500000,80,90,67,,72,70,66,81,93,51,78,,28,42,38,77,75,,very good. on track. focused. worried about the quality of the video,not much- we just started. clearer delegation of tasks to maximise productivity,5,0
-400004,67,63,71,,44,55,53,68,62,58,60,,42,46,50,54,58,,"Good, more momentum today","More communication, seems like there is a slight divide on the team",4,4
-500001,40,90,75,,78,78,81,86,87,82,83,,81,79,65,79,79,,,,5,1
-1700003,93,87,77,,80,86,93,76,70,80,89,,100,93,86,78,76,,,,17,3
-500002,98,85,73,,87,75,43,69,83,53,60,,75,85,50,68,58,,going better but needs more time,more efficient work,5,2
-2600010,46,50,73,,26,13,23,78,91,45,80,,6,1,14,78,72,,,,26,0
-1100010,67,38,60,,43,68,53,64,47,59,39,,55,10,70,50,65,,,,11,0
-1200011,39,45,51,,56,90,70,50,44,100,65,,86,40,74,68,82,,"Good, processing. not quiet there with the presentation","Lay more focus on the pitch video, work together step by step",12,1
-400002,62,58,60,,58,43,51,54,54,71,47,,40,28,32,46,50,,"We are working towards a shared goal, but there’s still not a high level of integrated working. There needs to be clear vision. ","I need to upskill in video editing or presenting! And next time, have some BI skills ready to deploy. ",4,2
-2400008,90,93,92,,90,90,90,88,98,80,100,,99,100,100,85,100,,,,24,8
-2400009,61,79,95,,96,75,73,70,65,70,90,,94,92,90,95,100,,Much better today,Collaboration ,24,9
-1100011,75,78,81,,73,81,68,67,66,68,62,,80,77,74,79,79,,"Is going well, taking practical insights",More collaboration and clear communication,11,1
-1100003,65,74,35,,65,60,60,50,59,58,62,,69,49,69,66,66,,"Good work, working together bit hectic but going on",Nothing,11,3
-1900001,73,80,86,,72,82,76,80,75,81,58,,70,65,67,72,77,,Well but we’re in crunch time ,Solid chunks of planning ,19,1
-2200000,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,90,85,100,80,95,,It is going relatively well.,Each team member should keep focusing on one task each and get through it efficiently.,22,0
